month,temperature,precipitation
January,2,53.7
February,3.3,60.2
March,6.5,55.9
April,9.9,55.9
May,14.4,56.7
June,18.1,33.5
July,20.6,30
August,20.5,30.6
September,17.3,47.9
October,12.7,76.1
November,7.1,90.5
December,3.4,71.3
