month,temperature,precipitation
January,0.6,56.8
February,2.8,51.1
March,7,57.8
April,11.7,60.4
May,16.9,59.4
June,21.1,37.3
July,23.4,33.9
August,22.8,30.6
September,18.2,50.1
October,12.9,69.2
November,7.2,71.3
December,2,85.6
